SMILES,ACACB
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.011082785
Oc1nc(c2ccccc2C2CC2)no1,0.15992372
Clc1cc(c2ccccc2C2CC2)no1,0.11481774
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.17826426
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.17826426
OCc1cc(c2ccccc2C2CC2)no1,0.038932506
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.057255384
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.08643686
O[C@H](c1ccccc1C1CC1)C1CNC1,0.08643686
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.10646547
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.10646547
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.10200108
NC1CN(Cc2ccccc2C2CC2)C1,0.10855713
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.049126547
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.044372488
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.12654252
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.12654252
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.12668988
N[C@H](c1ccccc1C1CCC1)C1CC1,0.12668988
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.1264666
O[C@H](c1ccccc1C1CCC1)C1CC1,0.1264666
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.040178567
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.041120652
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.06291021
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.06291021
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.07064073
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.0676698
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.107656546
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.04153718
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.07199314
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.07199314
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.07199314
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.07902144
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.07199314
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.07462552
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.07462552
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.07462552
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.07462552
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.06718637
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.08046589
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.08046589
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.08046589
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.08046589
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.045373857
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.045373857
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.045373857
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.045373857
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.16301094
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.16301094
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.07672396
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.07672396
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.07672396
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.07672396
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.10101726
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.057992637
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.057992637
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.081092454
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.081092454
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.08249302
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.07756979
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.07756979
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.07756979
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.07756979
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.12920877
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.12920877
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.15319747
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.15319747
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.08610055
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.08610055
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.06304852
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.06304852
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.07342122
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.07342122
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.07342122
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.06304852
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.06304852
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.07342122
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.0333587
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.08658324
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.07165934
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.07165934
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.089222245
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.089222245
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.06623682
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.06623682
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.06623682
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.06623682
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.14305001
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.14305001
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.08201685
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.08201685
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.08201685
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.08201685
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.096754864
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.038418543
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.08183618
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.03402434
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.21667817
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.0981141
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.124780506
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.124780506
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.078572445
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.078572445
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.078572445
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.078572445
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.14302875
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.0743542
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.065529466
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.06897902
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.06897902
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.045558296
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.034332752
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.07639044
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.07639044
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.07117204
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.07117204
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.083168805
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.083168805
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.109902516
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.109902516
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.033198994
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.11045833
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.11045833
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.11045833
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.11045833
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.109951966
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.109951966
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.109951966
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.109951966
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.10779484
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.10779484
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.10779484
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.10779484
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.20287615
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.20287615
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.017790886
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.16458711
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.069880456
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.15105169
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.15599811
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.15599811
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.112034865
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.112034865
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.112034865
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.112034865
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.14309306
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.105367035
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.105367035
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.025602588
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.06771838
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.100142375
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.100142375
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.06532043
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.06532043
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.06532043
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.06532043
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.13646095
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.13646095
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.06705275
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.06705275
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.06705275
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.06705275
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.09797443
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.12702318
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.07199741
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.077739425
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.077739425
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.06885152
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.10997448
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.17848517
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.07919502
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.07919502
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.07919502
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.07919502
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.0838739
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.0975324
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.18083432
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.07222335
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.07222335
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.07222335
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.07222335
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.07483077
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.07483077
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.07483077
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.07483077
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.12659582
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.12659582
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.12659582
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.12659582
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.10343151
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.10343151
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.07180692
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.088191256
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.088191256
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.088191256
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.088191256
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.13440523
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.13440523
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.13440523
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.13440523
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.15982065
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.15982065
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15982065
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15982065
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13476308
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.13476308
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.13476308
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13476308
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.03615902
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.03615902
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.03615902
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.03615902
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12206726
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12206726
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.12206726
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.12206726
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.159628
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.159628
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.159628
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.159628
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.06602864
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.06602864
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.06602864
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.06602864
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.109088354
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.109088354
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.073237464
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09449927
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.09449927
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.09449927
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09449929
