SMILES,C5AR1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.02238851
Oc1nc(c2ccccc2C2CC2)no1,0.0790919
Clc1cc(c2ccccc2C2CC2)no1,0.14945509
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.28285554
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.28285554
OCc1cc(c2ccccc2C2CC2)no1,0.2075672
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.14632782
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.31049657
O[C@H](c1ccccc1C1CC1)C1CNC1,0.31049657
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.24975143
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.24975143
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.13829626
NC1CN(Cc2ccccc2C2CC2)C1,0.23313682
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.14231817
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.1589029
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.12267018
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.12267018
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.41994712
N[C@H](c1ccccc1C1CCC1)C1CC1,0.41994712
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.4913488
O[C@H](c1ccccc1C1CCC1)C1CC1,0.4913488
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.13823296
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.07779547
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.25725356
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.25725356
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.13566801
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.18406127
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.17461473
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.121915646
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.17494376
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.17494376
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.17494376
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.071876645
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.17494376
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.15370789
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.15370789
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.15370789
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.15370789
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.066008165
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.17849933
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17849933
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17849933
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.17849933
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.26773307
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.26773307
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.26773307
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.26773307
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.12410389
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.12410389
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.16472024
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.16472024
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.16472024
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.16472024
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.08585007
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.16526793
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.16526793
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.16263738
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.16263738
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.065209545
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.08631317
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.08631317
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.08631317
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.08631317
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.24786077
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.24786077
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.43921563
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.43921563
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.17579836
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.17579836
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.1400288
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.1400288
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.4208274
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.4208274
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.4208274
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.1400288
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.1400288
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.4208274
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.06925867
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.1950982
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.14032876
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.14032876
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.29848534
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.29848534
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.13374206
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.13374206
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.13374206
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.13374206
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.33784005
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.33784005
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.2328258
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.2328258
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.2328258
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.2328258
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.1790623
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1562668
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.21737081
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.09924607
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.09275838
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.15006658
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.17224137
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.17224137
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17096849
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17096849
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.17096849
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.17096849
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.11199117
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.093353316
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.07330104
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.092324585
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.092324585
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.18208778
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.11277971
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.2980904
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.2980904
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.18897197
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.18897197
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.22356674
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.22356674
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.36590078
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.36590078
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.09438993
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.3350633
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.3350633
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.3350633
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.3350633
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.22217569
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.22217569
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.22217569
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.22217569
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23631164
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23631164
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23631164
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23631164
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.3222036
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.3222036
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.04948878
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.14212583
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.20357788
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.15401293
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.23655818
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.23655818
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.17622378
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.17622378
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.17622378
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.17622378
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.1657514
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.21868497
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.21868497
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.15453482
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.08138959
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.2494514
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.2494514
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.18487348
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.18487348
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.18487348
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.18487348
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.31078044
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.31078044
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.22060171
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.22060171
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.22060171
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.22060171
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.40487713
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.31630677
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.07785323
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.27233306
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.27233306
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.1771645
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.08470435
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.17672665
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.11520587
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.11520587
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.11520587
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.11520587
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.16579401
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.2429058
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.20309079
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.053219847
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.053219847
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.053219847
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.053219847
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.14589468
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.14589468
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.14589468
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.14589468
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.13844
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.13844
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.13844
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.13844
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.22669941
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.22669941
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.14456715
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.09364566
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.09364566
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.09364566
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.09364566
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.10937835
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.10937835
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.10937835
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.10937835
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.22642624
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.22642624
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22642624
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22642624
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16369349
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.16369349
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.16369349
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16369349
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.24835226
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.24835226
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.24835226
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.24835226
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16494437
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16494437
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.16494437
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.16494437
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1208508
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1208508
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1208508
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1208508
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.065180086
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.065180086
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.065180086
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.065180086
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.222383
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.222383
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.2757568
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11279373
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.11279373
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.11279373
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11279368
