SMILES,EPHB4
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.22668645
Oc1nc(c2ccccc2C2CC2)no1,0.06515096
Clc1cc(c2ccccc2C2CC2)no1,0.100940265
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.15664457
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.15664457
OCc1cc(c2ccccc2C2CC2)no1,0.056993656
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.08163912
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.057402913
O[C@H](c1ccccc1C1CC1)C1CNC1,0.057402913
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.0995604
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.0995604
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.05364142
NC1CN(Cc2ccccc2C2CC2)C1,0.050922047
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.14627911
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.11127056
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.049855866
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.049855866
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.14390092
N[C@H](c1ccccc1C1CCC1)C1CC1,0.14390092
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.08116496
O[C@H](c1ccccc1C1CCC1)C1CC1,0.08116496
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.17462608
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.13285023
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.12678295
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.12678295
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.14504993
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.13764855
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.14058676
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.10845701
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.09072035
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.09072035
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.09072035
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.18395355
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.09072035
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.07176762
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.07176762
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.07176762
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.07176762
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.14861956
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.06807124
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06807124
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06807124
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.06807124
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.09167224
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.09167224
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.09167224
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.09167224
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.05028618
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.05028618
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.03111176
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.03111176
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.03111176
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.03111176
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.051302288
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.16719353
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.16719353
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.08403735
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.08403735
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.40436494
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.03528432
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.03528432
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.03528432
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.03528432
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.05272918
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.05272918
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.034889292
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.034889292
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.08538359
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.08538359
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.080383465
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.080383465
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.08256554
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.08256554
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.08256554
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.080383465
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.080383465
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.08256554
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.1572327
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.12346296
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.04340244
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.04340244
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.08077168
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.08077168
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.037634965
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.037634965
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.037634965
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.037634965
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.052614033
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.052614033
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.038947593
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.038947593
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.038947593
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.038947593
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.14288278
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1674391
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.034511287
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.14886542
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.071194194
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.12740272
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.09248364
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.09248364
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04078469
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04078469
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.04078469
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.04078469
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.04510156
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.11148611
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.15734294
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.03679115
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.03679115
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.087621905
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.064320326
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.05982804
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.05982804
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.11910963
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.11910963
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.12879372
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.12879372
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.07853921
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.07853921
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.064316206
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.122010045
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.122010045
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.122010045
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.122010045
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.042117245
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.042117245
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.042117245
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.042117245
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.05428947
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.05428947
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.05428947
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.05428947
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.02574456
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.02574456
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.06960005
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.02221252
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.07213014
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.03192031
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.094034374
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.094034374
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.07945314
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.07945314
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.07945314
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.07945314
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.15763487
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.056913767
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.056913767
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.10794065
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.06762955
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.045338597
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.045338597
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.054437887
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.054437887
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.054437887
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.054437887
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.05065216
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.05065216
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.051864795
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.051864795
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.051864795
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.051864795
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.15299354
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.12681556
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.11147917
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.08165233
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.08165233
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.06730724
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.025332842
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.18297012
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.051496223
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.051496223
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.051496223
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.051496223
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.12345554
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.19676542
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.19435368
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.030584387
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.030584387
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.030584387
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.030584387
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.08367041
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.08367041
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.08367041
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.08367041
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.053845942
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.053845942
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.053845942
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.053845942
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.075894505
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.075894505
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.17832857
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.032925583
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.032925583
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.032925583
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.032925583
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.07526736
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.07526736
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.07526736
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.07526736
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.033785693
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.033785693
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.033785693
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.033785693
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.02233494
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.02233494
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.02233494
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.02233494
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.10013814
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.10013814
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.10013814
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.10013814
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.02233188
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.02233188
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.02233188
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.02233188
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.022327367
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.022327367
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.022327367
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.022327367
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.021756807
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.021756807
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.021756807
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.021756807
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.04920981
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.04920981
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.1348005
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.03787203
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.03787203
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.03787203
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.037872024
