SMILES,HRH1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.10103221
Oc1nc(c2ccccc2C2CC2)no1,0.49548405
Clc1cc(c2ccccc2C2CC2)no1,0.7656882
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.8575969
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.8575969
OCc1cc(c2ccccc2C2CC2)no1,0.37274006
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.8191167
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.91256803
O[C@H](c1ccccc1C1CC1)C1CNC1,0.91256803
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.92200065
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.92200065
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.39127716
NC1CN(Cc2ccccc2C2CC2)C1,0.9557589
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.71658564
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.34668022
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.48497155
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.48497155
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.8998274
N[C@H](c1ccccc1C1CCC1)C1CC1,0.8998274
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.85685486
O[C@H](c1ccccc1C1CCC1)C1CC1,0.85685486
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.40417403
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.6542195
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.85486245
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.85486245
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.59247434
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.7280861
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.36112854
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.52527267
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.84981793
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.84981793
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.84981793
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.3711336
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.84981793
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.5687435
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.5687435
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.5687435
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.5687435
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.60370195
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.6928194
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.6928194
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.6928194
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.6928194
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.7297424
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.7297424
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.7297424
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.7297424
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.43966246
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.43966246
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.771715
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.771715
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.771715
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.771715
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.87078047
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.8093663
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.8093663
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.897276
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.897276
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.6825139
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5137887
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5137887
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.5137887
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.5137887
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.85960066
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.85960066
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.92099816
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.92099816
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.69216496
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.69216496
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.6646943
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.6646943
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.710491
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.710491
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.710491
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.6646943
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.6646943
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.710491
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.5426836
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.56861115
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.786558
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.786558
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.80148506
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.80148506
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.7041748
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.7041748
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.7041748
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.7041748
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.860004
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.860004
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.8441166
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.8441166
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.8441166
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.8441166
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.502527
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.7434782
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.86438185
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.23394734
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.2590836
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.69983625
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.5402122
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.5402122
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.7287691
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.7287691
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.7287691
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.7287691
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.44093424
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.29796013
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.59114003
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.84769917
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.84769917
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.6403612
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.28369114
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.75548273
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.75548273
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.86891854
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.86891854
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.77041143
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.77041143
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.7880128
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.7880128
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.23253106
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.6450988
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.6450988
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.6450988
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.6450988
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.7205893
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.7205893
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.7205893
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.7205893
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.82304597
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.82304597
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.82304597
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.82304597
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.86653984
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.86653984
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.25447783
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.43302122
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.31181157
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.6289448
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.75220376
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.75220376
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.84435654
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.84435654
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.84435654
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.84435654
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.4488951
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.83274883
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.83274883
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.658389
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.2288303
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.8152544
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.8152544
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.88436455
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.88436455
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.88436455
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.88436455
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.82228947
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.82228947
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.81121683
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.81121683
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.81121683
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.81121683
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.65626293
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.3405485
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.24510744
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.9625766
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.9625766
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.33572602
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.9324774
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.34406054
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.9333284
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.9333284
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.9333284
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.9333284
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.5020845
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.51428956
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.31983826
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.5903414
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.5903414
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.5903414
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.5903414
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.796745
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.796745
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.796745
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.796745
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.901125
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.901125
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.901125
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.901125
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.8480175
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.8480175
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.35549542
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.75387293
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.75387293
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.75387293
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.75387293
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.9085086
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.9085086
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.9085086
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.9085086
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.70415825
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.70415825
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.70415825
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.70415825
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.6472258
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.6472258
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.6472258
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.6472258
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.8653237
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.8653237
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.8653237
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.8653237
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.62159944
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.62159944
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.62159944
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.62159944
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.76416004
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.76416004
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.76416004
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.76416004
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.67886037
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.67886037
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.67886037
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.67886037
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.8745893
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.8745893
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.47649926
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.76519156
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.76519156
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.76519156
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.76519156
