SMILES,IGF1R
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.21851547
Oc1nc(c2ccccc2C2CC2)no1,0.22759561
Clc1cc(c2ccccc2C2CC2)no1,0.19574137
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.35071644
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.35071644
OCc1cc(c2ccccc2C2CC2)no1,0.18768036
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.24441786
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.24621098
O[C@H](c1ccccc1C1CC1)C1CNC1,0.24621098
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.28758544
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.28758544
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.27475846
NC1CN(Cc2ccccc2C2CC2)C1,0.19604103
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.20284754
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.24829075
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.064997606
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.064997606
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.22931078
N[C@H](c1ccccc1C1CCC1)C1CC1,0.22931078
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.34398383
O[C@H](c1ccccc1C1CCC1)C1CC1,0.34398383
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.11200136
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.12151232
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.17877293
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.17877293
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.20264827
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.10017781
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.13279863
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.277043
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.23916195
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.23916195
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.23916195
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.07377042
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.23916195
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.2890094
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.2890094
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.2890094
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.2890094
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.15783122
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.21118401
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.21118401
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.21118401
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.21118401
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.37196115
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.37196115
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.37196115
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.37196115
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.054492664
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.054492664
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.16089559
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.16089559
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.16089559
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.16089559
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.23650584
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.2490936
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.2490936
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.32688993
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.32688993
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.36356196
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.31163344
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.31163344
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.31163344
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.31163344
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.13390367
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.13390367
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.1420236
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.1420236
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.3417052
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.3417052
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.45361876
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.45361876
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.3888496
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.3888496
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.3888496
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.45361876
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.45361876
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.3888496
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.19414829
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.31842002
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.17261781
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.17261781
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.2181818
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.2181818
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.28791276
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.28791276
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.28791276
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.28791276
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.3219368
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.3219368
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.29940826
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.29940826
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.29940826
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.29940826
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.17732328
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.10893903
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.1752103
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.24248539
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.14374267
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.14824814
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.13379985
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.13379985
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20464255
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20464255
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.20464255
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.20464255
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.081248954
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.15733863
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.20635223
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.21123716
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.21123716
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.23877674
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.38888535
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.14124912
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.14124912
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.11183423
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.11183423
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.17805354
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.17805354
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.20070648
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.20070648
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.2915009
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.093024306
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.093024306
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.093024306
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.093024306
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.08274027
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.08274027
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.08274027
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.08274027
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.19809358
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.19809358
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.19809358
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.19809358
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.06059438
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.06059438
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.04039003
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.052644975
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.2213173
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.19368345
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.13954277
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.13954277
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.23419935
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.23419935
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.23419935
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.23419935
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.20105296
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.22376654
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.22376654
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.25620812
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.31842756
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.09242243
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.09242243
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.22763042
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.22763042
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.22763042
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.22763042
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.2052114
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.2052114
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.16890754
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.16890754
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.16890754
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.16890754
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.30782032
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.35782003
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.107717484
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.09877978
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.09877978
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.26154846
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.23272388
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.31113154
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.23710987
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.23710987
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.23710987
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.23710987
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.23198298
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.2282514
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.26602098
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.08402048
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.08402048
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.08402048
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.08402048
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.27114117
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.27114117
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.27114117
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.27114117
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.2331335
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.2331335
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.2331335
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.2331335
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.12256874
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.12256874
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.09818791
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.088960126
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.088960126
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.088960126
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.088960126
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.24386585
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.24386585
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.24386585
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.24386585
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.10582247
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.10582247
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.10582247
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.10582247
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.0849278
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.0849278
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.0849278
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.0849278
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1600452
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.1600452
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.1600452
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1600452
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09200234
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09200234
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.09200234
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.09200234
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.13285862
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13285862
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13285862
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.13285862
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.07715222
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.07715222
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.07715222
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.07715222
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.096389525
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.096389525
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.24229921
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1443331
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1443331
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1443331
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14433306
