SMILES,PNMT
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.09762026
Oc1nc(c2ccccc2C2CC2)no1,0.2571825
Clc1cc(c2ccccc2C2CC2)no1,0.24097057
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.47927222
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.47927222
OCc1cc(c2ccccc2C2CC2)no1,0.24719685
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.31633306
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.7071341
O[C@H](c1ccccc1C1CC1)C1CNC1,0.7071341
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.680128
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.680128
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.19079319
NC1CN(Cc2ccccc2C2CC2)C1,0.493168
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.156749
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.18337779
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.2494743
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.2494743
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.5854289
N[C@H](c1ccccc1C1CCC1)C1CC1,0.5854289
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.6429604
O[C@H](c1ccccc1C1CCC1)C1CC1,0.6429604
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.22997253
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.16365038
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.42964864
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.42964864
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.2755319
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.19690467
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.2514161
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1343999
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.6283003
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.6283003
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.6283003
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1445329
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.6283003
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.54531956
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.54531956
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.54531956
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.54531956
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.24268723
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.49288017
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.49288017
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.49288017
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.49288017
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.6972927
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.6972927
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.6972927
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.6972927
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.26476634
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.26476634
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.64093226
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.64093226
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.64093226
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.64093226
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.42806953
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.45665786
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.45665786
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.35490707
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.35490707
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.1919267
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.45397767
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.45397767
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.45397767
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.45397767
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.39974585
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.39974585
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.42316636
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.42316636
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.438758
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.438758
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.51865697
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.51865697
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.36404175
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.36404175
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.36404175
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.51865697
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.51865697
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.36404175
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.2514672
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.17382108
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.37024313
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.37024313
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.5236511
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.5236511
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.6169851
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.6169851
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.6169851
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.6169851
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.524806
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.524806
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.4291002
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.4291002
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.4291002
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.4291002
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.19452181
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.15295024
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.5322305
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.28144208
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.1276138
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.20151836
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.29137802
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.29137802
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5549745
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5549745
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.5549745
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.5549745
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.13059385
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.11423157
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.23168938
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.3860694
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.3860694
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.16446997
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.09784837
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.31998998
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.31998998
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.16586894
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.16586894
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.33705527
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.33705527
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.5330319
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.5330319
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.07249063
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.22977936
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.22977936
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.22977936
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.22977936
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.44446358
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.44446358
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.44446358
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.44446358
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.572586
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.572586
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.572586
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.572586
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.38316822
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.38316822
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.4071835
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.12426337
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.31879592
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.21293746
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.23434287
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.23434287
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.4070731
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.4070731
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.4070731
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.4070731
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.1822184
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.36864308
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.36864308
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.12661438
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.11188624
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.47471532
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.47471532
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.31471965
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.31471965
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.31471965
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.31471965
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.5031078
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.5031078
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.3453301
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.3453301
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.3453301
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.3453301
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.4939717
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.48243806
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.08502824
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.19792424
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.19792424
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.28794655
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.2848345
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.32160246
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.203797
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.203797
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.203797
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.203797
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.13164784
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.3111951
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.3542637
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.23126508
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.23126508
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.23126508
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.23126508
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.42197508
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.42197508
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.42197508
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.42197508
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.2455244
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.2455244
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.2455244
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.2455244
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.40203944
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.40203944
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.21478944
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.19650945
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.19650945
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.19650945
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.19650945
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.27674565
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.27674565
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.27674565
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.27674565
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.32995546
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.32995546
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.32995546
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.32995546
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.29904795
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.29904795
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.29904795
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.29904795
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.28165373
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.28165373
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.28165373
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.28165373
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.29580715
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.29580715
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.29580715
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.29580715
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.32329682
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.32329682
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.32329682
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.32329682
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.1726141
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.1726141
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.1726141
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.1726141
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.49005243
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.49005243
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.25400102
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.30636385
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.30636385
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.30636385
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.30636382
